code,profit,factors,regime,entry_day,exit_day,entry,exit
8035.T,-0.0669691603714129,"{'score': 54.608298713340226, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 97.0}",BULL,,,,
7203.T,-0.0420559411068894,"{'score': 99.29987641667195, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 96.0}",BULL,,,,
8306.T,-0.0199999940560016,"{'score': 97.34197901030521, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 65.0, 'order_score': 82.0}",BEAR,,,,
6501.T,-0.0232287105545945,"{'score': 99.34642697527593, 'institution_hold': True, 'flow_score': 100.0, 'pressure_score': 90.0, 'order_score': 97.0}",SIDE,,,,
7203.T,-0.0044710194239163,"{'score': 54.515660074478006, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
4063.T,-0.009916559321112,"{'score': 52.60786965026658, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 82.0}",BEAR,,,,
4063.T,-0.0288924217748874,"{'score': 72.58115355290182, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 95.0}",BULL,,,,
8035.T,-0.0792209172219887,"{'score': 53.30387654771435, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 70.0, 'order_score': 94.0}",BULL,,,,
7203.T,-0.010344931225391,"{'score': 53.974976471468835, 'institution_hold': False, 'flow_score': 50.0, 'pressure_score': 85.0, 'order_score': 92.0}",BULL,,,,
2914.T,-0.0601091008780645,"{'score': 90.51623071058036, 'institution_hold': True, 'flow_score': 90.0, 'pressure_score': 90.0, 'order_score': 100.0}",BEAR,,,,
7203.T,-0.037643031192013,"{'score': 72.80844299338538, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 100.0, 'order_score': 96.0}",SIDE,,,,
8058.T,-0.0770642810760679,"{'score': 72.4573876192122, 'institution_hold': False, 'flow_score': 70.0, 'pressure_score': 95.0, 'order_score': 94.0}",BULL,,,,
