code,factors,profit,regime
9432.T,"{'market': 38.71131619649818, 'tech': 43.12, 'news': 0.0, 'inst': 50.0, 'future': 35.70438732166061}",0,BEAR
9984.T,"{'market': 39.59238176645212, 'tech': 36.95, 'news': 0.0, 'inst': 50.0, 'future': 38.64127255484039}",0,BEAR
9984.T,"{'market': 38.44256458809052, 'tech': 36.72, 'news': 0.0, 'inst': 50.0, 'future': 34.80854862696841}",0,BEAR
9432.T,"{'market': 37.95633562500533, 'tech': 35.11, 'news': 0.0, 'inst': 50.0, 'future': 33.187785416684434}",0,BEAR
6758.T,"{'market': 4.922164863691778, 'tech': 27.39, 'news': 0.0, 'inst': 50.0, 'future': 9.740549545639261}",0,BEAR
8306.T,"{'market': 68.9118221084332, 'tech': 43.9, 'news': 0.0, 'inst': 50.0, 'future': 36.37274036144401}",0,SIDE
7203.T,"{'market': 6.026010296335684, 'tech': 28.12, 'news': 0.0, 'inst': 50.0, 'future': 13.420034321118948}",0,BEAR
8306.T,"{'market': 48.2015543607082, 'tech': 43.47, 'news': 0.0, 'inst': 50.0, 'future': 34.00518120236068}",0,SIDE
6758.T,"{'market': 10.449095754607383, 'tech': 43.26, 'news': 0.0, 'inst': 75.0, 'future': 11.496985848691276}",0,BEAR
7203.T,"{'market': 11.260652087103226, 'tech': 43.96, 'news': 0.0, 'inst': 75.0, 'future': 14.202173623677416}",0,BEAR
9432.T,"{'market': 38.64384723452487, 'tech': 43.21, 'news': 0.0, 'inst': 60.0, 'future': 35.47949078174956}",0,BEAR
9984.T,"{'market': 39.24088495681682, 'tech': 39.59, 'news': 0.0, 'inst': 60.0, 'future': 37.46961652272274}",0,BEAR
8306.T,"{'market': 69.12974201386345, 'tech': 43.21, 'news': 0.0, 'inst': 50.0, 'future': 37.09914004621148}",0,SIDE
9432.T,"{'market': 38.93493836887325, 'tech': 43.11, 'news': 0.0, 'inst': 50.0, 'future': 36.449794562910824}",0,BEAR
6758.T,"{'market': 5.6792640605092775, 'tech': 27.2, 'news': 0.0, 'inst': 50.0, 'future': 12.264213535030924}",0,BEAR
7203.T,"{'market': 26.400158858306597, 'tech': 30.98, 'news': 0.0, 'inst': 60.0, 'future': 14.66719619435533}",0,BEAR
9984.T,"{'market': 40.290570214703216, 'tech': 36.23, 'news': 0.0, 'inst': 50.0, 'future': 40.96856738234406}",0,BEAR
6758.T,"{'market': 6.215002969580251, 'tech': 27.28, 'news': 0.0, 'inst': 50.0, 'future': 14.050009898600836}",0,BEAR
9984.T,"{'market': 39.87077044212511, 'tech': 35.75, 'news': 0.0, 'inst': 50.0, 'future': 39.56923480708369}",0,BEAR
7203.T,"{'market': 26.797840204614758, 'tech': 28.13, 'news': 0.0, 'inst': 50.0, 'future': 15.9928006820492}",0,BEAR
8306.T,"{'market': 69.72201650937747, 'tech': 46.09, 'news': 0.0, 'inst': 60.0, 'future': 39.07338836459155}",0,SIDE
9432.T,"{'market': 39.58748926221158, 'tech': 43.06, 'news': 0.0, 'inst': 50.0, 'future': 38.624964207371924}",0,BEAR
9432.T,"{'market': 39.239150313343664, 'tech': 84.09, 'news': 0.0, 'inst': 50.0, 'future': 37.46383437781222}",0,BEAR
8306.T,"{'market': 70.06340014406476, 'tech': 43.18, 'news': 0.0, 'inst': 50.0, 'future': 40.21133381354921}",0,SIDE
7203.T,"{'market': 26.33198425642319, 'tech': 28.23, 'news': 0.0, 'inst': 50.0, 'future': 14.439947521410627}",0,BEAR
6758.T,"{'market': 4.958627052650156, 'tech': 27.31, 'news': 0.0, 'inst': 50.0, 'future': 9.862090175500521}",0,BEAR
9984.T,"{'market': 38.6340123849116, 'tech': 35.16, 'news': 0.0, 'inst': 50.0, 'future': 35.446707949705335}",0,BEAR
8306.T,"{'market': 69.4860647087994, 'tech': 43.27, 'news': 0.0, 'inst': 50.0, 'future': 38.28688236266469}",0,SIDE
9984.T,"{'market': 17.4582256645699, 'tech': 34.8, 'news': 0.0, 'inst': 50.0, 'future': 31.527418881899663}",0,BEAR
6758.T,"{'market': 5.496868440112323, 'tech': 27.59, 'news': 0.0, 'inst': 50.0, 'future': 11.656228133707746}",0,BEAR
7203.T,"{'market': 26.279235096604992, 'tech': 28.45, 'news': 0.0, 'inst': 50.0, 'future': 14.2641169886833}",0,BEAR
9432.T,"{'market': 59.08528142218082, 'tech': 43.23, 'news': 0.0, 'inst': 50.0, 'future': 36.95093807393606}",0,BEAR
8306.T,"{'market': 68.53689326573655, 'tech': 43.4, 'news': 0.0, 'inst': 50.0, 'future': 35.122977552455175}",0,SIDE
7203.T,"{'market': 38.415372642198314, 'tech': 34.72, 'news': 0.0, 'inst': 50.0, 'future': 34.7179088073277}",0,BEAR
6758.T,"{'market': 4.863435197900019, 'tech': 27.77, 'news': 0.0, 'inst': 50.0, 'future': 9.544783993000058}",0,BEAR
9984.T,"{'market': 38.47552739466542, 'tech': 34.59, 'news': 0.0, 'inst': 50.0, 'future': 34.91842464888473}",0,BEAR
9432.T,"{'market': 59.54129714780811, 'tech': 100.0, 'news': 0.0, 'inst': 60.0, 'future': 38.47099049269371}",0,BEAR
7203.T,"{'market': 58.11198654412679, 'tech': 34.84, 'news': 0.0, 'inst': 50.0, 'future': 33.70662181375599}",0,BEAR
8306.T,"{'market': 47.976826639192495, 'tech': 43.22, 'news': 0.0, 'inst': 50.0, 'future': 33.25608879730833}",0,SIDE
6758.T,"{'market': 4.5167280204203255, 'tech': 27.86, 'news': 0.0, 'inst': 50.0, 'future': 8.389093401401087}",0,BEAR
9984.T,"{'market': 27.050184750013315, 'tech': 31.42, 'news': 0.0, 'inst': 50.0, 'future': 16.833949166711058}",0,BEAR
9432.T,"{'market': 59.899559898276465, 'tech': 43.79, 'news': 0.0, 'inst': 50.0, 'future': 39.66519966092155}",0,BEAR
6758.T,"{'market': 4.86901163852122, 'tech': 27.87, 'news': 0.0, 'inst': 50.0, 'future': 9.563372128404067}",0,BEAR
9984.T,"{'market': 40.73434200570119, 'tech': 37.55, 'news': 0.0, 'inst': 50.0, 'future': 42.44780668567062}",0,BEAR
8306.T,"{'market': 69.70053493086719, 'tech': 43.05, 'news': 0.0, 'inst': 50.0, 'future': 39.00178310289064}",0,SIDE
9432.T,"{'market': 59.9121094415335, 'tech': 43.92, 'news': 0.0, 'inst': 50.0, 'future': 39.70703147177834}",0,BEAR
7203.T,"{'market': 58.03803315802531, 'tech': 34.91, 'news': 0.0, 'inst': 50.0, 'future': 33.46011052675102}",0,BEAR
9984.T,"{'market': 40.182414354681214, 'tech': 37.61, 'news': 0.0, 'inst': 50.0, 'future': 40.608047848937375}",0,BEAR
9432.T,"{'market': 60.31761516335057, 'tech': 85.03, 'news': 0.0, 'inst': 50.0, 'future': 41.05871721116856}",0,BEAR
8306.T,"{'market': 69.57783777403041, 'tech': 42.63, 'news': 0.0, 'inst': 50.0, 'future': 38.59279258010139}",0,SIDE
7203.T,"{'market': 58.71898828140731, 'tech': 38.05, 'news': 0.0, 'inst': 60.0, 'future': 35.72996093802437}",0,BEAR
6758.T,"{'market': 25.1599851244739, 'tech': 27.87, 'news': 0.0, 'inst': 50.0, 'future': 10.533283748246337}",0,BEAR
7203.T,"{'market': 58.502413771502944, 'tech': 35.12, 'news': 0.0, 'inst': 50.0, 'future': 35.0080459050098}",0,BEAR
9984.T,"{'market': 39.04338384500065, 'tech': 34.74, 'news': 0.0, 'inst': 50.0, 'future': 36.81127948333549}",0,BEAR
8306.T,"{'market': 57.79055289150172, 'tech': 36.38, 'news': 0.0, 'inst': 50.0, 'future': 19.301842971672393}",0,SIDE
6758.T,"{'market': 24.80268399114175, 'tech': 27.81, 'news': 0.0, 'inst': 60.0, 'future': 9.342279970472486}",0,BEAR
9432.T,"{'market': 60.53420029253023, 'tech': 85.22, 'news': 0.0, 'inst': 50.0, 'future': 41.78066764176744}",0,BEAR
7203.T,"{'market': 58.19509580356119, 'tech': 35.06, 'news': 0.0, 'inst': 50.0, 'future': 33.98365267853728}",0,BEAR
9432.T,"{'market': 59.73994932655981, 'tech': 44.0, 'news': 0.0, 'inst': 50.0, 'future': 39.133164421866034}",0,BEAR
6758.T,"{'market': 24.889726719046237, 'tech': 27.78, 'news': 0.0, 'inst': 50.0, 'future': 9.632422396820782}",0,BEAR
8306.T,"{'market': 56.82434334683555, 'tech': 39.19, 'news': 0.0, 'inst': 50.0, 'future': 16.081144489451823}",0,SIDE
9984.T,"{'market': 38.90925915596321, 'tech': 34.77, 'news': 0.0, 'inst': 50.0, 'future': 36.36419718654404}",0,BEAR
9432.T,"{'market': 69.39014534694529, 'tech': 43.74, 'news': 0.0, 'inst': 50.0, 'future': 37.96715115648429}",0,SIDE
8306.T,"{'market': 36.11212763085674, 'tech': 36.25, 'news': 0.0, 'inst': 50.0, 'future': 13.707092102855803}",0,SIDE
9984.T,"{'market': 39.06582245817944, 'tech': 34.83, 'news': 0.0, 'inst': 50.0, 'future': 36.88607486059814}",0,BEAR
6758.T,"{'market': 4.507717258037925, 'tech': 27.84, 'news': 0.0, 'inst': 50.0, 'future': 8.359057526793084}",0,BEAR
7203.T,"{'market': 38.337189141616705, 'tech': 34.98, 'news': 0.0, 'inst': 50.0, 'future': 34.45729713872235}",0,BEAR
7203.T,"{'market': 38.22776834424293, 'tech': 34.88, 'news': 0.0, 'inst': 50.0, 'future': 34.092561147476445}",0,BEAR
