Time,Code,Price,NewsScore
2026-04-19 00:32:02.012367,2158.T,856.0,0
2026-04-19 00:32:05.692464,2411.T,493.0,0
2026-04-19 00:32:09.377159,3848.T,973.0,0
2026-04-19 00:32:12.990621,1992.T,2795.0,0
2026-04-19 00:32:16.628166,2134.T,33.0,0
2026-04-19 00:32:20.283225,3191.T,2216.0,0
2026-04-19 00:32:23.914962,3691.T,1571.0,0
2026-04-19 00:32:27.607483,2884.T,739.0,0
2026-04-19 00:32:31.365308,1914.T,716.0,0
2026-04-19 00:32:35.102129,2003.T,1833.0,0
2026-04-19 00:33:38.911493,2158.T,856.0,0
2026-04-19 00:33:42.646199,2411.T,493.0,0
2026-04-19 00:33:46.381440,3848.T,973.0,0
2026-04-19 00:33:50.037706,1992.T,2795.0,0
2026-04-19 00:33:53.662930,2134.T,33.0,0
2026-04-19 00:33:57.301166,3191.T,2216.0,0
2026-04-19 00:34:00.978842,3691.T,1571.0,0
2026-04-19 00:34:05.033101,2884.T,739.0,0
2026-04-19 00:34:08.645193,1914.T,716.0,0
2026-04-19 00:34:12.491120,2003.T,1833.0,0
2026-04-19 00:35:16.232138,2158.T,856.0,0
2026-04-19 00:35:20.119571,2411.T,493.0,0
2026-04-19 00:35:23.827600,3848.T,973.0,0
2026-04-19 00:35:27.527592,1992.T,2795.0,0
2026-04-19 00:35:31.272579,2134.T,33.0,0
2026-04-19 00:35:34.910688,3191.T,2216.0,0
2026-04-19 00:35:38.524393,3691.T,1571.0,0
2026-04-19 00:35:42.120109,2884.T,739.0,0
2026-04-19 00:35:45.875020,1914.T,716.0,0
2026-04-19 00:35:49.637161,2003.T,1833.0,0
2026-04-19 00:36:53.351963,2158.T,856.0,0
2026-04-19 00:36:57.060470,2411.T,493.0,0
2026-04-19 00:37:00.752097,3848.T,973.0,0
2026-04-19 00:37:04.473409,1992.T,2795.0,0
2026-04-19 00:37:08.227693,2134.T,33.0,0
2026-04-19 00:37:11.927807,3191.T,2216.0,0
2026-04-19 00:37:15.671667,3691.T,1571.0,0
2026-04-19 00:37:19.254872,2884.T,739.0,0
2026-04-19 00:37:22.959798,1914.T,716.0,0
